"Timestamp","IP Address","Event Type","Description","Data Mode","Data Source"
"2026-04-20 12:00:00","LOCAL","SYSTEM-Information","The system uptime is 141696 seconds.","REAL","REAL"
"2026-04-20 11:59:21","LOCAL","SYSTEM-Warning","Name resolution for the name s4.vip.wpscdn.cn timed out after none of the configured DNS servers responded. Client PID 6928.","REAL","REAL"
"2026-04-20 11:20:52","LOCAL","SYSTEM-Information","Service stopped.","REAL","REAL"
"2026-04-20 11:20:45","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:16:37","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","REAL","REAL"
"2026-04-20 11:15:32","LOCAL","SYSTEM-Information","Power source change.","REAL","REAL"
"2026-04-20 11:14:30","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","REAL","REAL"
"2026-04-20 11:12:53","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}   and APPID   {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}   to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:12:53","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}   and APPID   {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}   to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 11:12:51","LOCAL","SYSTEM-Information","User Logon Notification for Customer Experience Improvement Program","REAL","REAL"
"2026-04-20 11:12:51","LOCAL","SYSTEM-Information","Volume E: (\Device\HarddiskVolume3) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:50","LOCAL","SYSTEM-Information","Volume D: (\Device\HarddiskVolume2) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:50","LOCAL","SYSTEM-Information","Volume F: (\Device\HarddiskVolume4) is healthy.  No action is needed.","REAL","REAL"
"2026-04-20 11:12:49","LOCAL","SYSTEM-Information","This event contains the boot-time final TPM PCR values and TCG log data.","REAL","REAL"
"2026-04-20 11:12:49","LOCAL","SYSTEM-Information","Pre-attestation health checks confirm that the device is expected to pass attestation.   Please see C:\WINDOWS\Logs\MeasuredBoot\0000000021-0000000006.json for detailed information on what checks were made.","REAL","REAL"
"2026-04-20 11:12:49","LOCAL","SYSTEM-Information","Pre-attestation health check detailed information: {""Version"":1,""HealthStatus"":""Attestable"",""Required"":[{""Field"":""TpmPresent"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmMeetsMinimumVersion"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmIsResponsive"",""Value"":true,""DesiredValue"":true},{""Field"":""EkCertIsAvailable"",""Value"":true,""DesiredValue"":true},{""Field"":""TcgLogFound"",""Value"":true,""DesiredValue"":true}],""Expected"":[{""Field"":""PcrsMatchTcgLog"",""Value"":true,""DesiredValue"":true}],""Informational"":[{""Field"":""SecureBootEnabled"",""ValueFromComputer"":true,""ValueFromTcgLog"":true,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""VirtualSecureMemory"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""SecureCorePCCompliant"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true}{""Field"":""BootTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true},{""Field"":""CurrentTcgLogFoundInFileSystem"",""Value"":true,""DesiredValue"":true}]}","REAL","REAL"
"2026-04-20 11:12:49","LOCAL","SYSTEM-Information","This event contains the boot-time final TPM PCR values and TCG log data.","REAL","REAL"
"2026-04-20 11:12:48","LOCAL","SYSTEM-Information","The system has returned from a low power state.    Sleep Time: ?2026?-?04?-?20T05:24:37.296455100Z  Wake Time: ?2026?-?04?-?20T05:42:47.358924400Z    Wake Source: Unknown","REAL","REAL"
"2026-04-20 11:12:48","LOCAL","SYSTEM-Information","This event contains the boot-time final TPM PCR values and TCG log data.","REAL","REAL"
"2026-04-20 11:12:48","LOCAL","SYSTEM-Information","Service started.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The system session has transitioned from 34 to 36.    Reason Unknown     BootId: 21","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The system session has transitioned from 33 to 34.    Reason SxTransition     BootId: 21","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","Touch/Touchpad Hardware Quality Assurance verification succeeded.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The bootmgr spent 0 ms waiting for user input.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","There are 0x1 boot options on this system.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","Unable to load Pluton-Windows firmware. StatusCode: STATUS_SUCCESS, Reason: Failed to apply firmware.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The boot type was 0x1.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The boot menu policy was 0x1.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","The firmware reported boot metrics.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Warning","Reset and/or resume count do not match expected values after hibernate/resume.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","This event contains the boot-time final TPM PCR values and TCG log data.","REAL","REAL"
"2026-04-20 11:12:47","LOCAL","SYSTEM-Information","A V2 TPM protector was used to start Windows.  Binding ID: {e0f3b476-a73e-4425-805b-0c939f260e04}.","REAL","REAL"
"2026-04-20 11:12:46","LOCAL","SYSTEM-Information","The system time has changed to ?2026?-?04?-?20T05:42:46.500000000Z from ?2026?-?04?-?20T05:24:41.853430500Z.  Time Delta: 1084646 ms    Change Reason: System time synchronized with the hardware clock.  Process: '' (PID 4).    RTC time: ?2026?-?04?-?20T11:12:46.500000000Z  Current time zone bias: -330  RTC time is in UTC: false  System time was based on RTC time: false","REAL","REAL"
"2026-04-20 10:54:41","LOCAL","SYSTEM-Information","The system has resumed from sleep.","REAL","REAL"
"2026-04-20 10:54:37","LOCAL","SYSTEM-Information","The system is entering sleep.    Sleep Reason: Application API","REAL","REAL"
"2026-04-20 10:54:37","LOCAL","SYSTEM-Information","The system session has transitioned from 32 to 33.    Reason Unknown     BootId: 21","REAL","REAL"
"2026-04-20 10:54:37","LOCAL","SYSTEM-Information","User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.","REAL","REAL"
"2026-04-20 10:54:37","LOCAL","SYSTEM-Information","User Logoff Notification for Customer Experience Improvement Program","REAL","REAL"
"2026-04-20 10:54:35","12.2.0.231","SYSTEM-Warning","Process C:\Users\selva\AppData\Local\Kingsoft\WPS Office\12.2.0.23196\office6\wpscloudsvr.exe is delaying system shutdown after 5109 milliseconds.","REAL","REAL"
"2026-04-20 10:54:30","LOCAL","SYSTEM-Information","The process Explorer.EXE has initiated the power off of computer SWATHI on behalf of user Swathi\selva for the following reason: Other (Unplanned)   Reason Code: 0x0   Shutdown Type: power off   Comment:","REAL","REAL"
"2026-04-20 10:53:09","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 10:50:37","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 10:49:23","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 10:37:21","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","REAL","REAL"
"2026-04-20 10:35:03","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","REAL","REAL"
"2026-04-20 09:55:53","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 09:44:26","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","REAL","REAL"
"2026-04-20 09:44:21","LOCAL","SYSTEM-Information","Service stopped.","REAL","REAL"
"2026-04-20 09:44:05","LOCAL","SYSTEM-Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}   and APPID   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   to the user Swathi\selva SID (S-1-5-21-2370767349-2077310274-4129793571-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","REAL","REAL"
"2026-04-20 09:42:18","LOCAL","SYSTEM-Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","REAL","REAL"
"+ CategoryInfo          : ObjectNotFound: (:)","LOCAL","Get-WinEvent",", Exception","REAL","REAL"
